"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"1","Polytimet","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"2","Anonym","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"3","(","SYM.Paren.Left","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"4","=","SYM.Other.XY","SYM","Other","XY",NA,NA,NA,NA,NA,NA
"5","Johann","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"6","Jacob","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"7","Bodmer","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"8",")","SYM.Paren.Right","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"9","Conrad","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"10","Orell","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"11","&","CONJ.Coord.-","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"12","Comp","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"13",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"14",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"15","Zürich","N.Name.Nom.Sg.Neut","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"16",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"17","1760","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"18","Exportiert","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"19","aus","APPR.Dat","APPR",NA,NA,"Dat",NA,NA,NA,NA,NA
"20","Wikisource","N.Name.Dat.Sg.*","N","Name",NA,"Dat",NA,"Sg",NA,NA,NA
"21","am","APPRART.Dat.Sg.Masc","APPRART",NA,NA,"Dat",NA,"Sg","Masc",NA,NA
"22","16","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"23",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"24","Juni","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"25","2023","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"26","[","SYM.Paren.Left","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"27","1","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"28","]","SYM.Paren.Right","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"29","Polytimet","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"30",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"31","Ein","ART.Indef.Nom.Sg.Neut","ART","Indef",NA,"Nom",NA,"Sg","Neut",NA,NA
"32","Trauerspiel","N.Reg.Nom.Sg.Neut","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"33",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"34","[","SYM.Paren.Left","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"35","2","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"36","]","SYM.Paren.Right","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"37","Personen","N.Reg.Acc.Pl.Fem","N","Reg",NA,"Acc",NA,"Pl","Fem",NA,NA
"38",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"39","Polemon","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"40",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"41","König","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"42",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"43","Aristodemus","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"44",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"45","sein","PRO.Poss.Attr.-.Nom.Sg.Masc","PRO","Poss","Attr","Nom",NA,"Sg","Masc",NA,NA
"46","Feldherr","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"47",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"48","Polytimet","VIMP.Full.2.Pl","VIMP","Full",NA,NA,"2","Pl",NA,NA,NA
"49",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"50","des","ART.Def.Gen.Sg.Masc","ART","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"51","Aridäus","N.Reg.Gen.Sg.Masc","N","Gen",NA,"Gen",NA,"Sg","Masc",NA,NA
"52","Sohn","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"53",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"54","gefangen","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"55",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
