Source,Target,Weight,Type
gellert_die-betschwester,gellert_die-zaertlichen-schwestern,6,undirected
gellert_die-betschwester,gottsched-luise_das-testament,2,undirected
gellert_die-betschwester,lessing_der-freigeist,1,undirected
gellert_die-zaertlichen-schwestern,gellert_die-betschwester,6,undirected
gellert_die-zaertlichen-schwestern,gottsched-luise_das-testament,1,undirected
gellert_die-zaertlichen-schwestern,lessing_der-freigeist,3,undirected
gottsched-johann_der-sterbende-cato,lessing_emilia-galotti,1,undirected
gottsched-johann_der-sterbende-cato,lessing_minna-von-barnhelm,2,undirected
gottsched-johann_der-sterbende-cato,schlegel_canut,6,undirected
gottsched-luise_das-testament,gellert_die-betschwester,2,undirected
gottsched-luise_das-testament,gellert_die-zaertlichen-schwestern,1,undirected
gottsched-luise_das-testament,gottsched-luise_der-witzling,6,undirected
gottsched-luise_das-testament,gottsched-luise_die-pietisterey-im-fischbein-rocke,5,undirected
gottsched-luise_das-testament,lessing_der-freigeist,1,undirected
gottsched-luise_der-witzling,gottsched-luise_das-testament,6,undirected
gottsched-luise_der-witzling,gottsched-luise_die-pietisterey-im-fischbein-rocke,4,undirected
gottsched-luise_der-witzling,lessing_minna-von-barnhelm,1,undirected
gottsched-luise_die-pietisterey-im-fischbein-rocke,gottsched-luise_das-testament,5,undirected
gottsched-luise_die-pietisterey-im-fischbein-rocke,gottsched-luise_der-witzling,4,undirected
gottsched-luise_die-pietisterey-im-fischbein-rocke,lessing_minna-von-barnhelm,1,undirected
lessing_der-freigeist,gellert_die-betschwester,1,undirected
lessing_der-freigeist,gellert_die-zaertlichen-schwestern,3,undirected
lessing_der-freigeist,gottsched-luise_das-testament,1,undirected
lessing_der-freigeist,lessing_emilia-galotti,2,undirected
lessing_der-freigeist,lessing_minna-von-barnhelm,5,undirected
lessing_der-freigeist,lessing_miss-sara-sampson,6,undirected
lessing_emilia-galotti,gottsched-johann_der-sterbende-cato,1,undirected
lessing_emilia-galotti,lessing_der-freigeist,2,undirected
lessing_emilia-galotti,lessing_minna-von-barnhelm,5,undirected
lessing_emilia-galotti,lessing_miss-sara-sampson,2,undirected
lessing_minna-von-barnhelm,gottsched-johann_der-sterbende-cato,2,undirected
lessing_minna-von-barnhelm,gottsched-luise_der-witzling,1,undirected
lessing_minna-von-barnhelm,gottsched-luise_die-pietisterey-im-fischbein-rocke,1,undirected
lessing_minna-von-barnhelm,lessing_der-freigeist,5,undirected
lessing_minna-von-barnhelm,lessing_emilia-galotti,5,undirected
lessing_minna-von-barnhelm,lessing_miss-sara-sampson,3,undirected
lessing_minna-von-barnhelm,schlegel_canut,2,undirected
lessing_miss-sara-sampson,lessing_der-freigeist,6,undirected
lessing_miss-sara-sampson,lessing_emilia-galotti,2,undirected
lessing_miss-sara-sampson,lessing_minna-von-barnhelm,3,undirected
lessing_miss-sara-sampson,schlegel_canut,1,undirected
schlegel_canut,gottsched-johann_der-sterbende-cato,6,undirected
schlegel_canut,lessing_minna-von-barnhelm,2,undirected
schlegel_canut,lessing_miss-sara-sampson,1,undirected
